i,j,similarity,a_source_file,a_case_group,a_case_subgroup,a_instruction,b_source_file,b_case_group,b_case_subgroup,b_instruction
343,344,0.9898958,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2025,En este enlace tienes toda la información sobre 2025: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMg==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2024,En este enlace tienes toda la información sobre 2024: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMQ==/30007
345,347,0.98967904,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2023,En este enlace tienes toda la información sobre 2023: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMA==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2021,En este enlace tienes toda la información sobre 2021: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwOA==/30007
344,345,0.9894673,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2024,En este enlace tienes toda la información sobre 2024: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMQ==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2023,En este enlace tienes toda la información sobre 2023: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMA==/30007
236,237,0.9894568,sede_electronica_ciudadano.csv,Sede electrónica,Información y atención ciudadana - Quejas y sugerencias,Puedes presentar una queja o sugerencia en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=12&tipoVentana=&entidad=30007&idioma=1,sede_electronica_ciudadano.csv,Sede electrónica,Información y atención ciudadana - Denuncias y reclamaciones,Puedes presentar una denuncia o reclamación en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=13&tipoVentana=&entidad=30007&idioma=1
278,280,0.98892415,transparencias.csv,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2025,En este enlace tienes toda la información sobre presupuestos participativos 2025: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAODc1/30007,transparencias.csv,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2022,En este enlace tienes toda la información sobre presupuestos participativos 2022: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTc0/30007
278,281,0.9888104,transparencias.csv,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2025,En este enlace tienes toda la información sobre presupuestos participativos 2025: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAODc1/30007,transparencias.csv,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2021,En este enlace tienes toda la información sobre presupuestos participativos 2021: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcz/30007
351,353,0.9886054,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2017,En este enlace tienes toda la información sobre 2017: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwNA==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2015,En este enlace tienes toda la información sobre 2015: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwMg==/30007
348,353,0.98732734,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2020,En este enlace tienes toda la información sobre 2020: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwNw==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2015,En este enlace tienes toda la información sobre 2015: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwMg==/30007
347,349,0.9871552,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2021,En este enlace tienes toda la información sobre 2021: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwOA==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2019,En este enlace tienes toda la información sobre 2019: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwNg==/30007
324,326,0.9871498,transparencias.csv,"Urbanismo, obras públicas y medio ambiente",Planeamiento urbanístico,En este enlace tienes toda la información sobre planeamiento urbanístico: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANTA=/30007,transparencias.csv,"Urbanismo, obras públicas y medio ambiente",Normativa urbanística,En este enlace tienes toda la información sobre normativa urbanística: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANTI=/30007
